id,perID,perName,semantic
43,43,android.permission.START_VIEW_PERMISSION_USAGE,Allows an application to view permission usage statistics for other apps.
44,44,android.permission.SUBSCRIBED_FEEDS_READ,Allows an application to access subscribed web feeds.
45,45,android.permission.USE_ICC_AUTH_WITH_DEVICE_IDENTIFIER,Allows an application to use ICC (Integrated Circuit Card) authentication with a device identifier.
46,46,android.permission.WRITE_SECURE_SETTINGS,Allows an application to read or write the system's secure settings.
47,47,com.android.browser.permission.READ_HISTORY_BOOKMARKS,Allows an application to read the browser's history and bookmarks.
48,48,android.permission.PROCESS_OUTGOING_CALLS,Allows an application to monitor and process outgoing calls.
49,49,android.permission.CHANGE_WIFI_MULTICAST_STATE,Allows an application to enter multicast mode for Wi-Fi connections.
50,50,android.permission.EXPAND_STATUS_BAR,Allows an application to expand or collapse the status bar.
51,51,com.oppo.launcher.permission.WRITE_SETTINGS,Allows the Oppo launcher to write system settings.
52,52,android.permission.PACKAGE_USAGE_STATS,Allows an application to collect component usage statistics.
53,53,android.permission.READ_SETTINGS,Allows an application to read the system's settings.
54,54,com.android.launcher.permission.WRITE_SETTINGS,Allows the Android launcher to write system settings.
55,55,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,Allows an application to write the browser's history and bookmarks.
56,56,android.permission.VIBRATE,Allows access to the device's vibrator.
57,57,android.intent.action.BOOT_COMPLETED,Broadcasts when the system has finished booting.
58,58,android.permission.DISABLE_KEYGUARD,Allows applications to disable the keyguard if it is not secure.
59,59,android.permission.BLUETOOTH,Allows applications to connect to paired Bluetooth devices.
60,60,android.permission.BATTERY_STATS,Allows an application to collect battery statistics.
61,61,android.permission.GET_ACCOUNTS,Allows access to the list of accounts in the Accounts Service.
62,62,android.permission.WRITE_SETTINGS,Allows an application to modify the system's settings data.
63,63,android.permission.BLUETOOTH_ADMIN,Allows applications to discover and pair Bluetooth devices.
64,64,android.permission.ACCESS_WAKE_LOCK,Allows an application to prevent the phone from going to sleep.
65,65,android.permission.CAMERA,Allows an application to access the device's camera.
66,66,android.permission.SYSTEM_OVERLAY_WINDOW,Allows an application to display system alert windows on top of other apps.
67,67,android.permission.READ_SECURE_SETTINGS,Allows an application to read the system's secure settings.
68,68,android.permission.WRITE_SYNC_SETTINGS,Allows applications to write the sync settings for all accounts.
69,69,android.permission.RECEIVE_USER_PRESENT,Allows an application to receive a broadcast when the user is present after the screen is turned on.
70,70,android.permission.AUTHENTICATE_ACCOUNTS,Allows an application to act as an AccountAuthenticator for the AccountManager.
71,71,com.android.launcher.permission.UNINSTALL_SHORTCUT,Allows an application to uninstall shortcuts in the Launcher.
72,72,android.permission.BROADCAST_PACKAGE_REMOVED,Allows an application to broadcast a notification that a package was removed.
73,73,android.permission.RESTART_PACKAGES,Allows an application to restart other applications.
74,74,android.permission.WRITE_APN_SETTINGS,Allows an application to write the settings for Access Point Names.
75,75,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,Allows an application to mount and unmount filesystems for removable storage.
