id,apiID,apiName,semantic,permission
58,58,java/io/File;->getAbsoluteFile,Returns the absolute form of this file path.,WRITE_EXTERNAL_STORAGE
59,59,java/io/File;->getName,Returns the name of the file or directory.,WRITE_EXTERNAL_STORAGE
60,60,android/media/MediaRecorder;->setAudioSource,Sets the audio source for media recording.,None
61,61,android/media/MediaRecorder;->setOutputFormat,Sets the format for the output file of the recording.,None
62,62,android/media/MediaRecorder;->setAudioEncoder,Sets the audio encoder to be used for recording.,None
63,63,android/content/Context;->getResources,Returns the resources associated with the application.,None
64,64,android/content/Context;->getPackageName,Returns the name of the package this context is associated with.,None
65,65,android/content/res/Resources;->getIdentifier,"Finds a resource identifier based on a name, type, and package.",None
66,66,android/content/res/Resources;->getText,Returns the text associated with a particular resource ID.,None
67,67,android/webkit/WebSettings;->getUserAgentString,Returns the user agent string for the WebView.,None
68,68,android/app/Application;->getSharedPreferences,Retrieves the shared preferences for the application.,None
69,69,android/preference/PreferenceManager;->getDefaultSharedPreferences,Retrieves the default shared preferences for the context.,None
70,70,android/app/NotificationManager;->notify,Posts a notification to be shown in the status bar.,None
71,71,android/os/PowerManager$WakeLock;->release,Releases the acquired wake lock.,None
72,72,android/os/PowerManager;->newWakeLock,Creates a new wake lock with the specified level and flags.,None
73,73,android/os/PowerManager$WakeLock;->acquire,Acquires a wake lock to keep the CPU or screen awake.,None
74,74,java/util/Calendar;->getInstance,Returns a Calendar instance using the default time zone and locale.,None
75,75,java/util/Date;->getTime,"Returns the number of milliseconds since January 1, 1970, 00:00:00 GMT.",None
76,76,java/util/Calendar;->setTimeInMillis,Sets this calendar__ time with the given milliseconds since epoch.,None
77,77,java/util/Calendar;->get,Returns the value of a specific calendar field.,None
78,78,android/os/Environment;->getDataDirectory,Returns the user data directory.,None
79,79,java/io/File;->getPath,Returns the path of the file as a string.,WRITE_EXTERNAL_STORAGE
80,80,android/os/StatFs;->getBlockSize,"Returns the size, in bytes, of a file system block.",None
81,81,android/os/StatFs;->getBlockCount,Returns the total number of blocks on the file system.,None
82,82,android/os/StatFs;->getAvailableBlocks,Returns the number of available blocks on the file system.,None
83,83,android/content/Context;->openOrCreateDatabase,Opens or creates a new database.,None
84,84,android/database/sqlite/SQLiteDatabase;->insert,Inserts a row into the database.,None
85,85,android/database/sqlite/SQLiteDatabase;->close,Closes the database connection.,None
86,86,android/database/sqlite/SQLiteDatabase;->delete,Deletes rows from the database.,None
87,87,java/io/File;->getAbsolutePath,Returns the absolute pathname of the file.,WRITE_EXTERNAL_STORAGE
88,88,java/io/File;->delete,Deletes the file or directory represented by this File object.,WRITE_EXTERNAL_STORAGE
89,89,java/io/InputStream;->read,Reads bytes from an input stream.,None
90,90,java/io/OutputStream;->flush,Flushes the output stream and forces any buffered output bytes to be written out.,None
91,91,java/io/OutputStream;->close,Closes the output stream and releases any system resources associated with it.,None
92,92,java/io/OutputStream;->write,Writes the specified byte to the output stream.,None
93,93,android/content/Context;->openFileInput,Opens a private file associated with the application for reading.,WRITE_EXTERNAL_STORAGE
94,94,java/io/FileInputStream;->read,Reads up to a specified number of bytes from the input stream.,WRITE_EXTERNAL_STORAGE
95,95,java/lang/StringBuilder;->toString,Returns a string representing the data in the string builder.,None
96,96,java/io/FileInputStream;->close,Closes the file input stream and releases any system resources associated with it.,WRITE_EXTERNAL_STORAGE
97,97,android/content/Context;->openFileOutput,Opens a private file associated with the application for writing.,WRITE_EXTERNAL_STORAGE
98,98,java/lang/String;->getBytes,Encodes the string into a sequence of bytes using the platform__ default charset.,None
99,99,java/io/FileOutputStream;->write,Writes bytes to a file output stream.,WRITE_EXTERNAL_STORAGE
100,100,java/io/FileOutputStream;->close,Closes the file output stream and releases any system resources associated with it.,WRITE_EXTERNAL_STORAGE
101,101,java/security/MessageDigest;->getInstance,Returns a MessageDigest object for the specified algorithm.,None
102,102,java/security/MessageDigest;->digest,Completes the hash computation by performing final operations on the digest.,None
103,103,java/math/BigInteger;->toString,Converts this BigInteger to a string representation.,None
104,104,android/content/pm/PackageManager;->checkPermission,Checks whether the specified permission is granted to the application.,None
105,105,javax/xml/parsers/SAXParserFactory;->newInstance,Creates a new instance of a SAXParserFactory.,None
106,106,javax/xml/parsers/SAXParserFactory;->newSAXParser,Creates a new SAXParser using the current factory settings.,None
107,107,javax/xml/parsers/SAXParser;->parse,Parses the XML document from the given input source.,None
108,108,android/app/PendingIntent;->getBroadcast,Retrieves a PendingIntent that will perform a broadcast.,None
109,109,android/app/AlarmManager;->cancel,Cancels any previously scheduled alarm with the given PendingIntent.,None
110,110,android/text/format/Formatter;->formatShortFileSize,"Formats the given file size as a short, human-readable string.",WRITE_EXTERNAL_STORAGE
111,111,java/io/DataOutputStream;->writeBytes,Writes a string as a sequence of bytes to the output stream.,None
112,112,java/io/DataOutputStream;->flush,Flushes the output stream and forces any buffered output bytes to be written out.,None
113,113,android/os/SystemClock;->sleep,Puts the thread to sleep for the specified duration.,None
114,114,android/app/AlertDialog$Builder;->setTitle,Sets the title of the alert dialog.,None
115,115,android/app/AlertDialog$Builder;->create,Creates an AlertDialog with the arguments supplied to the builder.,None
